Parsha,Date,In,Out
משפטים,10/2/2024,17:00,17:59
תרומה,17/2/2024,17:06,18:05
תצוה,24/2/2024,17:12,18:10
כי תשא,2/3/2024,17:17,18:15
ויקהל שבת שקלים,9/3/2024,17:23,18:20
פקודי,16/3/2024,17:28,18:25
ויקרא שבת זכור,23/3/2024,17:33,18:30
צו שבת פרה,30/3/2024,18:37,19:35
שמיני שבת החודש,6/4/2024,18:42,19:41
תזריע,13/4/2024,18:47,19:46
מצורע שבת הגדול,20/4/2024,18:52,19:51
חג הפסח,23/4/2024,18:54,19:54
"שבת חוה""מ פסח",27/4/2024,18:57,19:57
שביעי של פסח,29/4/2024,18:58,19:58
אחרי מות,4/5/2024,19:02,20:02
קדושים,11/5/2024,19:07,20:08
אמור,18/5/2024,19:12,20:14
בהר,25/5/2024,19:16,20:19
בחוקותי,1/6/2024,19:20,20:24
במדבר,8/6/2024,19:24,20:28
חג השבועות,12/6/2024,19:26,20:29
נשא,15/6/2024,19:27,20:31
בהעלותך,22/6/2024,19:29,20:32
שלח לך,29/6/2024,19:30,20:33
קרח,6/7/2024,19:29,20:32
חוקת,13/7/2024,19:28,20:30
בלק,20/7/2024,19:25,20:26
פנחס,27/7/2024,19:21,20:21
מטות מסעי,3/8/2024,19:15,20:15
דברים שבת חזון,10/8/2024,19:09,20:08
ואתחנן,17/8/2024,19:02,20:00
עקב,24/8/2024,18:54,19:51
ראה,31/8/2024,18:46,19:42
שופטים,7/9/2024,18:37,19:33
כי תצא,14/9/2024,18:28,19:24
כי תבוא,21/9/2024,18:18,19:14
נצבים וילך,28/9/2024,18:09,19:05
